                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95856,                 1.1346,                 1.1697,                0.63307,                0.66652,                0.68748,                0.50283,                0.93815,                 1.0038,                 1.1367,               0.000467,               0.000467,               0.000467
                     36,                0.95832,                 1.1365,                 1.1681,                 0.6326,                0.66412,                   0.69,                0.50577,                0.94569,                 1.0042,                  1.145,              0.0004387,              0.0004387,              0.0004387
                     37,                0.95621,                 1.1225,                 1.1673,                0.63621,                0.67914,                0.70133,                0.51781,                0.94166,                0.98616,                 1.1379,             0.00041041,             0.00041041,             0.00041041
                     38,                0.94544,                 1.1171,                 1.1634,                0.64884,                0.67144,                0.70229,                0.51846,                 0.9461,                0.98448,                  1.147,             0.00038211,             0.00038211,             0.00038211
                     39,                0.94569,                 1.1156,                  1.163,                0.62555,                0.70163,                0.70159,                0.51595,                0.94358,                0.98183,                 1.1449,             0.00035382,             0.00035382,             0.00035382
                     40,                0.93954,                 1.1006,                 1.1563,                0.63176,                0.67344,                 0.6942,                0.51293,                0.93223,                0.98525,                 1.1387,             0.00032553,             0.00032553,             0.00032553
                     41,                0.83065,                0.89783,                 1.1034,                0.64649,                0.66717,                0.69825,                0.51578,                0.93738,                0.98912,                 1.1441,             0.00029723,             0.00029723,             0.00029723
                     42,                0.82124,                0.86522,                 1.0928,                0.64797,                0.66085,                0.69862,                0.51458,                0.93388,                0.98363,                   1.14,             0.00026894,             0.00026894,             0.00026894
                     43,                0.81047,                0.85665,                  1.089,                0.65896,                0.66062,                0.70671,                0.52413,                0.93268,                0.97514,                 1.1341,             0.00024064,             0.00024064,             0.00024064
                     44,                0.80613,                 0.8467,                 1.0792,                0.66094,                0.65743,                0.70508,                0.52306,                0.92912,                0.97788,                 1.1336,             0.00021235,             0.00021235,             0.00021235
                     45,                0.79572,                0.82592,                 1.0742,                0.65184,                0.67535,                0.70886,                0.52812,                 0.9258,                0.97294,                 1.1316,             0.00018406,             0.00018406,             0.00018406
                     46,                0.78923,                0.82182,                 1.0712,                 0.6322,                0.69629,                0.70931,                0.52895,                0.92489,                0.96666,                 1.1342,             0.00015576,             0.00015576,             0.00015576
                     47,                0.77793,                0.80488,                 1.0632,                0.63687,                0.69582,                0.70955,                0.52936,                0.92036,                0.96395,                 1.1318,             0.00012747,             0.00012747,             0.00012747
                     48,                0.78798,                0.81176,                 1.0719,                 0.6565,                 0.6809,                0.71476,                0.53327,                0.91984,                0.95036,                  1.133,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 0.7727,                0.78904,                 1.0645,                0.65271,                0.68297,                0.71599,                0.53589,                0.91652,                0.94437,                 1.1296,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.76961,                0.78018,                 1.0594,                0.64119,                0.70427,                0.71695,                 0.5368,                0.91558,                0.94482,                  1.127,             4.2584e-05,             4.2584e-05,             4.2584e-05
